timestamp,power,power_norm,label
2016-01-01 00:00:00,15798.670313999999,0.3614240393913784,0
2016-01-01 00:15:00,15713.689063333333,0.35938014073703156,0
2016-01-01 00:30:00,14606.439616,0.3327494941217235,0
2016-01-01 00:45:00,13622.095898,0.30907487431027203,0
2016-01-01 01:00:00,13586.826628,0.3082266070404063,0
2016-01-01 01:15:00,12582.462696,0.2840704776237968,0
2016-01-01 01:30:00,12137.677636,0.27337287575896363,0
2016-01-01 01:45:00,11587.910449333334,0.2601503307361847,0
2016-01-01 02:00:00,11478.999512,0.2575308950781664,0
2016-01-01 02:15:00,11471.426659333334,0.25734875909812915,0
2016-01-01 02:30:00,11627.685124000001,0.2611069582674405,0
2016-01-01 02:45:00,10440.241245333335,0.23254754161165334,0
2016-01-01 03:00:00,4540.621662666667,0.09065477783640122,0
2016-01-01 03:15:00,5312.784748666667,0.10922620482801138,0
2016-01-01 03:30:00,5333.426496666667,0.10972266305414474,0
2016-01-01 03:45:00,5477.636670000001,0.11319108669944117,0
2016-01-01 04:00:00,5473.110222,0.1130822203212272,0
2016-01-01 04:15:00,5537.431624666667,0.11462922542323223,0
2016-01-01 04:30:00,7516.641308666667,0.16223153743985957,0
2016-01-01 04:45:00,7622.605502,0.1647801004518641,0
2016-01-01 05:00:00,6388.750439333334,0.13510444043910017,0
2016-01-01 05:15:00,6670.367238000001,0.14187765442831304,0
2016-01-01 05:30:00,7769.085253333334,0.1683031101074127,0
2016-01-01 05:45:00,8095.052409333333,0.17614300215751882,0
2016-01-01 06:00:00,7716.874285333333,0.16704737514940501,0
2016-01-01 06:15:00,5439.921615333334,0.11228399544252163,0
2016-01-01 06:30:00,5671.8252760000005,0.11786155021203071,0
2016-01-01 06:45:00,5516.631738666667,0.1141289637929025,0
2016-01-01 07:00:00,5667.429328666667,0.11775582252776276,0
2016-01-01 07:15:00,6018.348454,0.12619583867752168,0
2016-01-01 07:30:00,5848.830142000001,0.12211872464276843,0
2016-01-01 07:45:00,5873.3101246666665,0.1227074969100429,0
2016-01-01 08:00:00,5879.272949333334,0.12285090983014821,0
2016-01-01 08:15:00,6007.714876666667,0.12594008868288178,0
2016-01-01 08:30:00,6551.040688666666,0.13900771109731988,0
2016-01-01 08:45:00,6473.80721,0.1371501554379367,0
2016-01-01 09:00:00,6922.046599333334,0.1479308379708077,0
2016-01-01 09:15:00,7357.1937333333335,0.15839663642221075,0
2016-01-01 09:30:00,7029.864648666667,0.15052398839184686,0
2016-01-01 09:45:00,7242.594287999999,0.15564038548134793,0
2016-01-01 10:00:00,8307.893328,0.18126207564537683,0
2016-01-01 10:15:00,7167.077099333333,0.15382410860750803,0
2016-01-01 10:30:00,7031.721678666667,0.15056865213930065,0
2016-01-01 10:45:00,6970.3562993333335,0.14909274286214896,0
2016-01-01 11:00:00,7719.663037333334,0.16711444790269345,0
2016-01-01 11:15:00,8366.173290666666,0.18266377703639328,0
2016-01-01 11:30:00,8884.706153333333,0.19513509996850847,0
